,zip,x_bar,pop,frequency distribution midpoint
0,0001 ? ?,quatreSAN   (SAN**zwei)quatreZERO,"57,110","thirty-four thousand, three hundred and fifty"
1,90002,quatrezwei   ochoochoocho,"51,223",thirty-five thousand and twenty
2,90003,SANocho   SAN(SAN*zwei)(SAN**zwei),"66,266","thirty thousand, nine hundred and twelve"
3,90004,(SAN*zwei)ZERO   ZEROzweiocho,"62,180","forty thousand, three hundred and fifty-eight"
4,90005,quatreocho   zweiZEROSAN,3.7681E4,thirty-six thousand and fifty-eight
5,90006,SANocho   quatrequatre(SAN*zwei),"59,185","twenty-nine thousand, nine hundred and thirty-nine"
6,90007,SANzwei   ZEVENZEROV,"40,920","twenty-one thousand, one hundred and ninety-five"
7,90008,VZERO   I(SAN*zwei)ZEVEN,"32,327","forty thousand, nine hundred and seventy-three"
8,90010,ochoZERO   zweiZEVEN(SAN**zwei),"3,800","fifty-one thousand, nine hundred and ninety-nine"
9,90011,SANocho   (SAN**zwei)VZERO,"103,892","twenty-nine thousand, nine hundred and sixty-nine"
10,90012,quatreV   Iochoocho,"27,522","thirty-nine thousand, seven hundred and seventy-five"
11,90013,SANquatre   SAN(SAN*zwei)(SAN*zwei),"11,772","seventeen thousand, six hundred and twenty-eight"
12,0014 ? ?,SANZERO   IzweiI,"7,005","thirteen thousand, eight hundred and thirty-two"
13,90015,quatrezwei   zweiquatre(SAN*zwei),1.8986E4,"twenty-four thousand, seven hundred and sixty-two"
14,90016,quatre(SAN*zwei)   ochoZEVENSAN,"47,596","thirty-seven thousand, two hundred and twenty-three"
15,90017,SANSAN   ZEROZEROzwei,"23,768","twenty thousand, nine hundred and fifty-six"
16,90018,quatrequatre   quatre(SAN**zwei)V,"49,310","thirty-three thousand, one hundred and thirty-seven"
17,90019,V(SAN**zwei)   ochoIzwei,"64,458","forty-two thousand, six hundred and fifteen"
18,90020,VV   SANI(SAN**zwei),"38,967","thirty-nine thousand, eight hundred and forty-six"
